"Country","Total Responses","Total Non-Immigrants","Total Immigrants","Second Gen Immigrants","Africa","Asia","Carribean","Europe","Middle East","North America","South America","Oceania","No Answer","USSR","Czechoslovakia","Yugoslavia","No answer","Afghanistan","Albania","Armenia","Bosnia and Herzegovina","Bulgaria","Brazil","Canada","China","Czechia","Germany","Algeria","Spain","France","United Kingdom","Georgia","Ghana","Croatia","Hungary","India","Iraq","Iran, Islamic Republic of","Italy","Kenya","Latvia","Madagascar","Macedonia, The Former Yugoslav Republic of","Nigeria","Netherlands","Nepal","Philippines","Poland","Romania","Serbia","Russian Federation","Sweden","Slovenia","Slovakia","Thailand","Tunisia","Turkey","Ukraine","United States","Viet Nam","Kosovo","Refusal","Angola","Austria","Australia","Burundi","Congo, The Democratic Republic of the","Congo","Switzerland","Côte d'Ivoire","Colombia","Dominican Republic","Ecuador","Gambia","Equatorial Guinea","Greece","Guatemala","Ireland","Kyrgyzstan","Kazakhstan","Lebanon","Sri Lanka","Lithuania","Luxembourg","Morocco","Moldova, Republic of","Mauritania","Niger","New Zealand","Pakistan","Portugal","Rwanda","Sierra Leone","Suriname","Syrian Arab Republic","Venezuela, Bolivarian Republic of","Argentina","Bangladesh","Belgium","Burkina Faso","Belarus","Cameroon","Cuba","Denmark","Eritrea","Ethiopia","Finland","Grenada","French Guiana","Hong Kong","Indonesia","Israel","Japan","Lao People's Democratic Republic","Liechtenstein","Montenegro","Mauritius","Mexico","Peru","Sudan","Senegal","Tanzania, United Republic of","Uganda","South Africa","Uzbekistan","Serbia and Montenegro","Azerbaijan","Jordan","Kuwait","Somalia","Zambia","Estonia","Faroe Islands","Greenland","Iceland","Korea, Republic of","Norway","Bolivia, Plurinational State of","Chile","Cape Verde","Honduras","Nicaragua","Paraguay","Uruguay","Costa Rica","Egypt","Benin","Central African Republic","Djibouti","Gabon","Guinea","Guadeloupe","Cambodia","Comoros","Mali","Martinique","Réunion","Sao Tome and Principe","Chad","Jamaica","Zimbabwe","Isle of Man","Mongolia","Malaysia","Cyprus","Libya","Palestine, State of","Swaziland","Tajikistan","Turkmenistan","Yemen","American Samoa","Aruba","Bonaire, Sint Eustatius and Saba","Curaçao","British Indian Ocean Territory","Puerto Rico","Don't know","Singapore","Guinea-Bissau","Mozambique","Timor-Leste","Åland Islands","Liberia","Saudi Arabia"
"Austria",1795,1584,211,369,7,11,0,165,21,3,3,0,1,1,1,4,1,1,2,3,27,7,3,1,1,5,28,1,2,1,1,1,1,12,5,2,1,7,5,2,1,1,1,1,2,1,1,14,9,16,4,1,5,3,1,1,13,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",1769,1542,227,419,55,9,1,129,22,1,7,2,1,0,0,0,0,1,0,2,0,3,3,0,0,0,7,4,4,28,0,2,0,2,1,1,0,3,15,0,1,0,3,1,15,0,0,8,14,1,3,2,1,0,0,3,17,0,0,0,2,1,4,1,1,2,13,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,20,1,1,1,1,2,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",1532,1139,393,624,25,17,3,309,17,7,14,1,0,0,2,0,0,2,0,0,14,1,5,0,2,5,67,0,8,25,3,0,0,9,2,3,0,3,44,0,0,0,5,1,6,1,0,8,2,10,3,3,1,2,1,3,8,3,6,0,28,0,0,12,1,1,2,0,0,0,3,1,1,0,0,4,0,0,0,1,3,2,1,0,2,1,0,0,0,2,30,1,0,0,2,0,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechia",2148,2103,45,246,0,1,0,43,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,23,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",3045,2746,299,571,13,37,1,197,39,5,5,1,1,2,4,0,1,3,1,2,5,3,4,1,4,10,0,2,6,5,3,0,0,5,4,1,4,7,5,1,1,0,2,1,10,0,1,53,14,2,23,1,3,2,0,3,22,9,1,1,7,0,0,7,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,19,1,0,2,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark",1502,1384,118,185,11,12,0,71,16,6,1,1,0,0,0,2,0,2,0,0,2,2,0,1,0,0,13,1,1,3,2,0,0,2,2,3,3,5,1,0,3,0,0,1,3,1,2,4,0,0,1,8,0,0,1,1,6,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,3,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estonia",2051,1651,400,891,0,16,0,384,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,292,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",1925,1756,169,195,35,10,12,52,0,3,57,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,5,2,0,6,4,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,3,0,22,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,11,5,11,3,2,0,0,0,0,0,0,0,1,0,24,1,1,0,0,3,1,0,0,0,0,3,6,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",2087,1987,100,124,7,12,0,67,9,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,1,2,1,0,0,2,0,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,19,16,0,0,2,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",1917,1694,223,477,129,11,4,61,6,4,8,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,3,45,5,1,10,0,0,0,0,1,0,0,5,0,1,3,0,0,0,0,0,4,0,2,1,0,0,0,1,10,2,1,2,2,1,0,2,2,0,0,3,4,1,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,14,1,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,2,1,1,2,1,1,1,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",2264,1950,314,493,28,57,9,72,6,0,0,0,142,0,0,0,142,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,31,0,6,0,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungary",1698,1671,27,70,0,0,0,24,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,2,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",2390,2077,313,374,21,29,0,235,1,10,11,6,0,0,0,0,0,1,0,0,0,0,8,1,2,1,5,0,3,5,119,0,2,0,2,11,0,0,2,0,6,0,0,9,1,0,3,70,3,0,1,0,0,0,1,0,0,2,9,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,2,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",2562,1738,824,1709,166,64,0,394,125,41,32,0,2,22,2,1,0,2,0,2,0,9,3,5,0,2,7,8,4,18,11,9,0,1,4,13,43,20,7,1,3,0,0,0,2,0,4,20,44,0,109,1,0,0,0,17,19,79,36,0,0,2,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,10,1,0,7,0,88,8,0,0,0,0,0,0,0,0,7,1,22,0,1,0,19,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,5,1,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",2250,2175,75,272,0,7,0,68,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",1919,1736,183,331,26,32,13,61,26,3,15,2,5,0,0,0,5,2,0,1,2,3,1,0,7,0,15,0,2,3,2,0,2,0,2,1,7,2,1,0,1,0,2,0,0,0,0,5,1,3,1,0,0,0,1,1,15,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,1,0,2,1,0,12,0,1,0,0,10,1,0,0,1,2,1,0,1,0,0,0,16,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,8,1,1,0,0,0,0,0,0,0,0
"Norway",1436,1267,169,228,7,12,0,70,6,5,1,0,68,0,0,0,66,0,0,0,2,0,0,0,0,0,8,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,8,0,4,14,0,0,5,19,0,0,1,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"Poland",1615,1599,16,93,1,1,0,14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",1265,1170,95,105,42,1,1,24,0,2,22,0,3,0,0,0,3,0,0,0,0,0,18,1,0,0,4,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0,0
"Sweden",1791,1554,237,360,15,32,0,130,37,8,12,1,2,1,0,4,2,3,0,1,10,0,0,0,3,0,13,0,0,1,6,1,0,2,4,3,11,11,3,1,3,0,2,1,0,1,1,7,1,6,5,0,0,0,6,0,5,0,5,3,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,2,0,0,0,1,0,9,3,0,31,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,5,0,2,0,0,1,4,9,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Slovenia",1224,1126,98,209,0,1,0,97,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,5,0,21,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
